"설문지 
번호",구분,DQ1_전문과,DQ1_기타내용,DQ1_1_신경과세부,DQ2_전문의취득연도,DQ3_직역,DQ3_기타내용,DQ3_1_전공의_연차,DQ3_2_전공의_근무총인원,DQ3_3_은퇴자_은퇴연령,DQ3_4_은퇴자_은퇴전직역,DQ4_근무기관,DQ4_기타내용,DQ5_근무지역,DQ6_성별,DQ7_출생연도,A1_1_근무시간_평일 ,A1_2_근무시간_토요일,A1_3_근무시간_일요일,A2_근무시간_일주평균,A3_1_총휴무일_토요일,A3_2_총휴무일_일요일,A3_3_총휴무일_공휴일,A3_4_총휴무일_휴가,A3_5_총휴무일_출장,A3_6_총휴무일_기타,A3_7_총휴무일_기타내용,A4_일반비교업무량,A4_1_업무량감축비율,A5_워라밸주당근무시간,A6_야간당직여부,A6_1_당직응급실call횟수,A7_oncall당직여부,A7_1_1_oncall당직주기,A7_1_2_oncall당직횟수,A7_1_3_실제call수 ,A8_응급실전담의여부,A9_응급실call여부,A9_1_1_응급실평균진료시간,A9_1_2_응급call받는날,A9_1_3_응급실call수,B1_1_근무비중_진료,B1_2_근무비중_진료외,B2_1_진료비율_급여,B2_2_진료비율_비급여,B3_1_1_외래_세션당환자수,B3_1_2_외래_평균진료세션 ,B3_2_1_입원_신규환자수,B3_2_2_입원_재원환자수,B3_3_1_수술_환자수,B3_3_2_수술_일수,C1_진료시간변화여부,C1_1_증가또는감소시간,C2_환자수변화,C3_진료시간변화계획,C3_1_기타내용,C4_일반의또는타과진료정도,C5_전공과주로진료,C5_1_1_비전공과_진료비중,C5_1_2_비전공과_진료과목,C5_1_2_비전공과_진료이유,C5_2_1_전공과회귀조건,C5_2_2_기타내용,C6_환자당진료시간변화,C7_1_실제진료시간_초진,C7_2_실제지료시간_재진,C8_1_이상적진료시간_초진,C8_2_이상적진료시간_재진,D1_현재전문의수,D2_현재전공의정원,D3_의료수요변화,D3_1_1_수요변화체감원인,D3_1_2_기타내용 ,E1_정책시행후_근무시간변화,E2_연봉변화,E3_지도전문의여부,E3_1_전공의법_근무변화,E3_2_전공의없을시_업무량,E3_3_전공의1인_역할비율,E4_당직및입원전담_근무의향,E5_은퇴예상연령,E6_육아휴직계획,
531,온라인,1,,,2019,2,,,,,,5,,8,2,1984,8,8,8,40,25,25,0,10,0,0,,1,,35,1,,1,,,,2,1,,,,100,0,99,1,30,10,2,2,0,0,1,,3,1,,3,1,,,,,,4,,,10,5,4,3,3,1,,1,1,2,,,,2,65,2,
532,온라인,1,,,2018,2,,,,,,2,,2,,,8,4,근무안함,8,24,50,17,6,0,0,,1,,44,1,,1,,,,2,1,,,,100,0,90,10,30,9,0,50,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,온라인,1,,,1977,2,,,,,,3,,8,1,1952,8,4,근무안함,44,0,52,17,7,3,0,,3,10,40,1,,2,1,3,2,2,2,10,1,1,100,0,100,0,40,1,3,12,0,0,1,,3,1,,1,1,,,,,,1,10,7,15,10,4,3,3,1,,1,3,2,,,,4,70,2,
534,온라인,1,,,1991,2,,,,,,5,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,온라인,1,,,2006,2,,,,,,5,,12,2,1976,8,1,근무안함,41,41,52,17,17,7,0,,1,,40,1,,2,1,7,1,1,1,,,,80,20,90,10,30,7,2,6,0,0,1,,2,1,,3,1,,,,,,1,10,5,15,10,3,1,2,"3,4",,1,2,1,3,5,100,4,70,1,
536,온라인,1,,,2019,2,,,,,,2,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,온라인,1,,,2015,2,,,,,,5,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,온라인,1,,,2016,2,,,,,,3,,13,1,1984,9,4,근무안함,49,0,52,17,6,2,,,3,40,35,1,,2,1,7,1,2,2,10,4,0,100,0,100,,32,11,1,7,0,0,1,,1,1,,4,1,,,,,,4,,,15,10,5,3,3,"1,3",,1,3,2,,,,4,70,4,
539,온라인,1,,,1996,2,,,,,,4,,8,2,1965,8,4,근무안함,42,12,52,15,10,0,,,3,20,36,1,,2,1,3,1,2,1,,,,99,1,100,0,15,11,3,12,0,0,1,,3,1,,1,1,,,,,,1,10,3,30,10,4,3,3,"1,5",,1,1,1,5,,50,2,60,4,
540,온라인,1,,,2008,2,,,,,,1,,4,1,1978,8,4,근무안함,40,0,53,53,7,0,0,,1,,40,1,,2,1,7,0,2,1,,,,95,5,90,10,35,10,0,0,0,0,3,4,3,3,,2,1,,,,,,1,10,5,20,10,5,3,3,"1,3",,3,1,1,4,5,25,3,70,1,
541,온라인,1,,,2017,2,,,,,,1,,14,,,8,5,근무안함,41,,52,17,6,,,,1,,40,1,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,온라인,1,,,2017,2,,,,,,2,,1,,,8,6,근무안함,38,0,7,0,9,4,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,온라인,1,,,2008,2,,,,,,2,,17,1,1966,8,7,7,48,2,2,0,7,0,0,365일 운영되는 야간에도 운영되는 병원때문,3,30,40,3,2,2,1,7,2,2,2,20,1,2,100,0,95,5,20,14,2,10,0,0,1,,3,3,,1,2,20,피부과,진료거부할수 없어서,2,,2,12,8,15,12,5,3,3,6,인구감소,1,3,1,2,2,30,1,62,4,
544,온라인,1,,,2010,2,,,,,,4,,2,,,9,4,근무안함,45,,,,12,2,,,1,,40,2,4,2,4,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,온라인,1,,,1982,2,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,온라인,1,,,2007,2,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,온라인,1,,,2012,2,,,,,,4,,8,1,1980,24,24,24,72,26,26,12,0,0,0,,3,20,40,3,50,1,,,,1,1,,,,100,0,100,0,0,0,0,0,0,0,2,20,2,8,일본으로 이직예정,2,1,,,,,,2,3,3,3,3,3,1,3,"1,4",,1,3,2,,,,1,55,4,
548,온라인,1,,,2018,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,온라인,1,,,2019,2,,,,,,1,,1,,,8,4,,40,,,,10,,,,3,10,35,1,,2,1,5,1,2,1,,,,90,10,99,1,10,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,온라인,1,,,2010,2,,,,,,2,,1,1,1980,6,4,4,33,26,26,8,14,0,5,병가,3,20,25,1,0,2,1,1,1,2,1,,,,100,0,100,0,50,9,1,3,0,0,2,4,2,5,,1,1,,,,,,3,5,3,10,5,3,1,1,,,2,1,2,,,,4,60,2,
551,온라인,1,,,2019,2,,,,,,1,,2,,,8,4,근무안함,40,53,52,17,15,4,0,,3,20,35,1,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,온라인,1,,,1999,2,,,,,,2,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,온라인,1,,,2018,2,,,,,,2,,12,2,1987,3,4,근무안함,19,0,9,3,3,0,,,1,,40,1,,1,,,,2,1,,,,100,0,95,5,30,5,0,0,0,0,1,,1,1,,3,1,,,,,,4,,,10,5,4,1,3,1,,3,3,2,,,,3,60,4,
554,온라인,1,,,2019,2,,,,,,2,,8,,,8,8,,40,,40,10,10,,,,3,20,40,2,1,1,,,,2,1,,,,90,10,90,10,30,8,2,5,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,온라인,1,,,2017,2,,,,,,2,,3,,,8,6,6,51,0,0,0,7,0,0,,3,10,40,1,,2,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,온라인,1,,,1998,2,,,,,,5,,8,,,9,1,1,49,26,26,8,12,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,온라인,1,,,2009,2,,,,,,1,,1,2,1979,3,3,1,19,2,38,13,7,0,0,,2,,30,1,,1,,,,2,1,,,,100,0,90,10,45,1,0,0,0,0,1,,3,1,,2,1,,,,,,1,5,3,8,5,4,3,1,,,1,3,2,,,,4,65,1,
558,온라인,1,,,2019,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,온라인,1,,,2016,2,,,,,,4,,1,,,8,4,근무안함,40,0,52,17,6,2,,,1,,32,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,온라인,1,,,1981,2,,,,,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,온라인,1,,,2016,2,,,,,,1,,1,2,1985,8,3,근무안함,27,0,52,10,5,0,0,,3,70,20,1,,1,,,,2,1,,,,100,0,95,5,40,7,0,0,0,0,3,8,2,3,,2,1,,,,,,3,5,5,10,10,4,1,4,,,1,3,2,,,,4,65,4,
562,온라인,1,,,2012,2,,,,,,3,,8,,,8,4,근무안함,44,12,52,10,5,2,0,,1,,40,1,,2,1,5,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,온라인,1,,,1979,2,,,,,,3,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,온라인,1,,,2009,2,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,온라인,1,,,2014,2,,,,,,1,,8,1,1980,8,12,12,60,25,25,0,7,0,0,,3,80,42,1,,1,,,,2,1,,,,100,0,100,0,50,12,0,0,0,0,1,,3,3,,1,1,,,,,,1,5,5,15,10,5,3,3,1,,1,1,2,,,,4,90,2,
566,온라인,1,,,1996,2,,,,,,2,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,온라인,1,,,2010,2,,,,,,5,,8,1,1976,9,3,근무안함,50,26,52,17,7,4,,,1,,52,1,,1,,,,1,1,,,,60,40,100,,25,5,4,9,0,0,3,15,2,1,,2,1,,,,,,1,10,5,20,10,3,1,1,,,1,1,1,3,5,80,2,65,4,
568,온라인,1,,,1991,2,,,,,,2,,11,,,8,4,,44,,,52,,,,,3,30,35,1,,2,1,1,0,2,2,20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,온라인,1,,,2002,2,,,,,,4,,4,2,1973,8,근무안함,근무안함,40,41,42,14,10,20,,,3,8,32,1,,2,1,7,1,1,2,30,7,2,70,30,95,5,10,8,4,2,0,0,1,,3,3,,2,1,,,,,,2,15,10,15,10,4,3,2,1,,1,3,1,5,,50,3,70,2,
570,온라인,1,,,1991,3,,,,,,5,,1,1,1959,10,근무안함,근무안함,50,53,52,17,5,5,,,1,,40,1,,1,,,,1,1,,,,30,70,70,30,90,4,1,2,0,0,1,,1,1,,3,1,,,,,,1,5,3,10,5,4,1,3,1,,1,1,1,2,2,30,4,75,4,
571,온라인,1,,,2004,3,,,,,,5,,5,2,1973,13,5,근무안함,70,0,52,8,9,20,,일요일이나 공휴일은 공식 휴가가 아니면 call 대기임 ,3,35,52,1,,2,1,7,3,2,2,10,7,3,80,20,60,40,33,3,4,12,0,0,2,5,2,2,,4,1,,,,,,3,15,7,30,15,2,1,2,3,,2,1,1,4,5,100,4,65,1,
572,온라인,1,,,2015,3,,,,,,5,,15,2,1984,11,근무안함,6,61,40,0,5,10,8,,,3,30,50,2,4,2,1,6,6,1,2,20,5,2,70,30,80,20,20,3,1,5,0,0,2,6,2,2,,1,1,,,,,,2,30,10,30,15,2,1,2,"2,4",,2,1,1,4,5,40,2,50,3,
573,온라인,1,,,1992,3,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,온라인,1,,,2001,3,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,온라인,1,,,1996,3,,,,,,5,,8,1,1963,9,2,,47,40,51,7,14,10,,,3,20,40,1,,2,1,2,2,1,2,30,2,3,50,50,100,0,28,2,3,16,0,0,1,,3,1,,4,1,,,,,,2,15,10,20,15,2,1,2,2,,1,1,1,4,4,20,3,65,4,
576,온라인,1,,,2012,3,,,,,,5,,6,2,1982,13,2,2,80,20,20,13,5,5,,,3,30,52,2,2,2,1,7,1,1,1,,,,60,40,90,10,30,4,2,2,0,0,2,8,2,2,,3,1,,,,,,2,20,5,30,15,2,2,2,5,,2,1,1,4,5,40,4,65,2,
577,온라인,1,,,1978,3,,,,,,7,,8,,,8,,,24,53,52,17,0,0,0,,1,,8,1,,1,,,,2,1,,,,100,0,100,0,15,12,0,0,0,0,1,,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
578,온라인,1,,,1998,3,,,,,,5,,5,,,11,근무안함,근무안함,62,40,50,15,7,14,,,3,20,50,2,3,1,,,,2,2,30,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,온라인,1,,,1992,3,,,,,,5,,1,1,1963,12,,,9,26,25,8,7,14,,,3,30,50,1,,2,1,1,1,1,2,15,4,15,60,40,95,5,0,0,0,0,0,0,2,10,2,1,,1,1,,,,,,2,15,15,20,15,4,1,4,,,2,2,1,4,5,60,3,65,1,
580,온라인,1,,,2010,3,,,,,,5,,1,,,10,7,근무안함,60,0,50,15,10,,,,3,20,50,1,,2,1,7,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,온라인,1,,,2008,3,,,,,,5,,1,1,1977,10,3,근무안함,53,22,47,15,7,7,,,3,30,40,1,,2,1,1,0,2,1,,,,60,40,95,5,35,6,3,10,0,0,1,,2,1,,4,1,,,,,,1,15,5,20,10,4,3,3,1,,1,1,1,3,5,50,2,70,4,
582,온라인,1,,,2010,3,,,,,,5,,1,,,13,2,근무안함,67,30,30,6,5,7,,,3,50,40,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,온라인,1,,,1991,3,,,,,,5,,1,1,1962,10,3,근무안함,8,7,45,10,14,6,3,,3,20,6,1,,2,3,2,1,2,1,,,,60,40,95,5,50,4,4,6,0,0,3,4,1,1,,4,1,,,,,,3,5,3,20,10,2,2,1,,,1,1,1,3,3,50,4,65,4,
584,온라인,1,,,1991,3,,,,,,5,,12,1,1963,8,근무안함,,40,50,50,17,14,12,,,1,,40,1,,2,1,1,1,2,1,,,,50,50,60,40,15,4,2,10,0,0,1,,1,1,,3,1,,,,,,1,3,2,5,3,4,1,3,1,,1,1,1,2,5,60,4,65,4,
585,온라인,1,,,2008,3,,,,,,5,,8,2,1978,10,5,근무안함,52,42,52,15,5,10,,,3,20,48,1,,2,1,1,1,2,1,,,,70,30,70,30,50,5,1,3,0,0,2,1,2,1,,2,1,,,,,,1,5,3,10,5,4,1,3,1,,1,1,1,2,5,50,4,65,2,
586,온라인,1,,,1990,3,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,온라인,1,,,2001,3,,,,,,5,,11,2,1966,9,4,근무안함,46,40,52,17,16,10,0,,1,,40,1,,2,4,5,1,2,1,,,,70,30,95,5,20,4,1,5,0,0,1,,3,1,,1,1,,,,,,2,20,10,30,15,4,3,3,1,,2,3,1,3,4,50,3,65,4,
588,온라인,1,,,1988,3,,,,,,5,,1,1,1959,15,근무안함,근무안함,75,30,52,17,10,15,10,,3,30,52,1,,2,3,5,1,2,2,30,3,2,50,50,95,5,40,5,3,15,0,0,2,5,2,1,,4,1,,,,,,2,15,5,30,15,3,1,1,,,2,1,1,4,4,30,4,70,1,
589,온라인,1,,,2013,3,,,,,,5,,1,2,1981,10,근무안함,12,90,0,0,0,7,1,0,,3,20,60,1,5,2,3,10,7,1,1,,,,75,25,100,0,3,2,2,18,0,0,3,54,3,1,,3,1,,,,,,3,20,15,20,10,4,1,3,"1,3,4,5",,1,3,1,4,5,50,3,65,2,
590,온라인,1,,,1991,3,,,,,,5,,4,1,1963,9,4,근무안함,41,43,52,15,6,3,0,,1,,60,2,0,2,3,7,0,1,1,,,,80,20,100,,20,2,1,20,0,0,1,,3,1,,3,1,,,,,,2,20,7,20,7,2,2,3,"1,4",,2,3,1,3,4,40,3,65,4,
591,온라인,1,,,2010,3,,,,,,5,,1,,,10,4,근무안함,54,0,50,15,7,12,,,2,,40,1,,2,1,7,1,2,2,10,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,온라인,1,,,1997,3,,,,,,5,,1,2,1967,9,근무안함,근무안함,50,5,0,0,10,10,0,,3,20,40,1,,1,,,,2,2,10,1,1,50,50,70,30,20,3,2,5,0,0,1,,1,1,,4,1,,,,,,2,15,10,30,20,4,3,3,1,,1,1,1,2,5,60,4,65,1,
593,온라인,1,,,2011,3,,,,,,5,,8,2,1979,12,5,3,68,0,0,4,14,7,0,,3,30,53,1,,2,3,3,0,1,2,10,1,1,70,30,50,50,30,5,2,5,0,0,1,,3,1,,4,2,80,20,전공진료과목의 환자수 부족,3,,1,5,5,15,5,4,3,3,1,,1,1,1,4,4,100,3,60,2,
594,온라인,1,,,2013,3,,,,,,5,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,온라인,1,,,2004,3,,,,,,4,,1,2,1972,9,4,근무안함,45,0,43,12,13,9,,,1,,41,1,,2,1,2,10,2,2,60,1,4,70,30,70,30,25,7,80,2,0,0,1,,1,1,,1,1,,,,,,2,30,15,30,10,3,1,1,,,1,1,1,3,3,50,4,60,1,
596,온라인,1,,,2005,3,,,,,,5,,2,2,1975,10,3,1,55,20,20,7,10,17,,,3,30,45,1,,2,1,1,1,2,1,,,,70,30,80,20,30,4,3,8,0,0,1,,2,1,,4,1,,,,,,1,10,5,15,5,4,3,3,"1,6",인구 감소,1,3,1,3,5,50,2,65,1,
597,온라인,1,,,2010,3,,,,,,5,,3,1,1977,10,2,근무안함,60,35,48,,10,15,,,3,50,40,1,,2,1,7,1,2,1,,,,50,50,80,20,20,4,3,10,0,0,1,,3,1,,4,1,,,,,,1,10,5,15,10,2,1,2,"1,4,6","소아인구가 줄면서, 소아1명에 투입되는 비용과 관심이 늘어남, 소아에게 요구되는 진료수준이 높아지지만, 의료시설이나 인력을 요구하는 수준에 따라가기 어려운 수가구조임. ",1,1,1,4,5,30,3,65,2,
598,온라인,1,,,2009,3,,,,,,5,,2,2,1980,10,2,2,54,,,3,10,10,53,분만휴가 100일,3,30,30,1,,1,,,,2,1,,,,70,30,80,20,27,4,2,6,0,0,1,,2,1,,4,1,,,,,,1,15,5,30,15,3,2,2,"3,6",신생아센터 등 수가법제화에 따른 전문의수요 확대 및 지방불균형,1,1,1,3,5,80,3,60,2,
599,온라인,1,,,2002,3,,,,,,5,,1,2,1973,10,4,1,55,6,10,10,7,4,,,3,50,40,1,,2,1,7,2,1,2,30,7,1,80,20,90,10,15,2,2,5,0,0,2,10,1,3,,2,1,,,,,,2,30,15,40,20,4,1,3,1,,1,1,1,4,5,100,3,65,4,
600,온라인,1,,,2006,3,,,,,,5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,온라인,1,,,2009,3,,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,온라인,1,,,2010,3,,,,,,5,,9,1,1978,12,3,3,70,,,,3,10,,중환자실 근무중으로 산정이 어렵습니다.,3,50,40,1,,2,1,7,5,2,1,,,,70,30,90,10,20,2,2,15,0,0,1,,1,8,중환자실 근무는 1년 365일 온콜상태로 있으며 인력 충원도 안되(하)고 있습니다.,4,1,,,,,,1,20,15,30,20,2,1,3,1,,1,1,1,3,5,50,3,65,2,
603,온라인,1,,,2003,3,,,,,,5,,3,1,1973,12,3,2,65,5,50,5,7,14,,,1,,50,1,,2,1,2,1,2,2,30,3,1,70,30,80,20,30,4,2,7,0,0,1,,2,1,,3,1,,,,,,2,10,5,20,10,1,2,2,"2,6",중증 질환에 대한 전문의 진료 수요 증가,1,1,1,2,4,20,2,65,1,
604,온라인,1,,,2002,3,,,,,,5,,15,2,1973,11,근무안함,근무안함,60,50,47,12,5,48,0,,1,,52,1,,2,1,2,1,2,1,,,,40,60,90,10,10,4,5,20,0,0,2,3,3,3,,2,1,,,,,,1,20,10,20,10,3,1,3,"1,4",,1,1,1,3,4,75,2,65,4,
605,온라인,1,,,2011,3,,,,,,5,,15,2,1981,9,2,2,50,2,5,3,10,10,,,1,,50,2,1,2,1,7,1,1,1,,,,60,40,80,20,2,1,1,7,0,0,3,10,1,1,,4,1,,,,,,2,30,15,30,15,3,1,3,1,,1,1,1,3,5,50,4,65,4,
606,온라인,1,,,1999,3,,,,,,5,,2,,,8,근무안함,근무안함,40,45,45,40,10,20,5,,1,,40,1,,2,3,10,3,2,2,20,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,온라인,1,,,2005,3,,,,,,5,,6,2,1976,12,2,2,64,0,40,5,5,5,,,3,70,40,1,,2,1,7,2,2,1,,,,80,20,95,5,20,3,3,12,0,0,1,,1,1,,4,1,,,,,,2,30,20,50,30,3,1,3,1,,2,1,1,3,4,30,3,60,4,
608,온라인,1,,,2003,3,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,온라인,1,,,2000,3,,,,,,5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,온라인,1,,,2004,3,,,,,,5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,온라인,1,,,1990,3,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,온라인,1,,,2016,3,,,,,,5,,3,2,1983,9,근무안함,근무안함,45,50,52,17,5,14,0,,3,50,36,1,,2,1,7,2,1,1,,,,95,5,98,2,65,6,2,3,0,0,2,4,2,3,,4,1,,,,,,2,15,10,20,15,3,1,4,,,1,1,1,3,5,20,4,65,3,
613,온라인,1,,,2004,3,,,,,,5,,3,,,9,근무안함,근무안함,45,41,0,0,14,6,,,1,,52,2,0,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,온라인,1,,,2014,3,,,,,,5,,1,2,1982,9,5,근무안함,50,15,50,8,7,8,0,,3,15,40,1,,1,,,,1,1,,,,90,10,90,10,0,0,3,20,0,0,1,,2,1,,4,1,,,,,,2,15,5,20,7,2,2,1,,,2,1,1,4,5,30,1,60,2,
615,온라인,1,,,2010,3,,,,,,5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,온라인,1,,,2008,3,,,,,,5,,8,2,1978,9,1,근무안함,48,45,48,10,12,5,0,,1,,45,1,,2,1,7,1,1,2,30,0,1,80,20,100,0,37,5,2,5,0,0,1,,1,1,,3,1,,,,,,1,10,5,20,10,4,3,3,1,,1,3,1,3,5,20,3,60,3,
617,온라인,1,,,2004,3,,,,,,5,,2,2,1974,16,12,12,110,26,26,9,25,14,,,3,50,52,3,2,2,1,4,2,1,2,2,1,1,80,20,90,10,5,2,12,12,0,0,1,,1,8,연수계획인 교수의 연수기간동안 근무시간이 두 배로 늘어날 것이다.,4,1,,,,,,1,30,20,30,20,2,2,2,"1,3,4",,2,1,1,4,5,25,3,65,4,
618,온라인,1,,,2005,3,,,,,,5,,1,2,1971,12,5,5,70,20,20,8,8,5,,,3,60,50,2,0,2,1,1,4,1,1,,,,70,30,95,5,40,4,1,10,0,0,1,,1,3,,4,1,,,,,,1,7,3,10,5,3,1,3,1,,1,3,1,4,3,20,3,65,1,
619,온라인,1,,,2012,3,,,,,,5,,1,,,15,8,5,88,11,10,3,4,12,,,3,25,55,1,,2,4,8,1,1,1,,,,75,25,70,30,52,3,10,10,10,1,2,5,1,1,,4,1,,,,,,1,10,3.5,15,8,2,1,4,,,2,1,1,4,,,,,,
620,온라인,1,,,1996,3,,,,,,5,,3,1,1962,8,근무안함,근무안함,40,53,53,12,7,40,,,1,,40,1,,2,1,1,1,1,1,,,,40,60,100,0,22,4,0,3,0,0,3,4,2,1,,4,1,,,,,,1,15,7,15,7,1,2,2,"2,3,6",어린이병원 소아응급실 소아중환자실 신생아집중치료센터,1,1,1,2,1,100,2,65,4,
621,온라인,1,,,2015,3,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,온라인,1,,,1990,3,,,,,,5,,1,,,8,1,,41,,52,17,14,5,,,1,,40,1,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,온라인,1,,,2019,3,,,,,,4,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,온라인,1,,,2018,3,,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,온라인,1,,,1990,3,,,,,,5,,4,1,1966,9,5,근무안함,50,47,50,10,12,10,,,3,20,45,2,7,1,,,,1,2,10,5,1,75,25,95,5,30,5,5,10,0,0,2,3,1,1,,1,1,,,,,,2,15,5,25,10,4,3,3,1,,2,3,1,4,5,80,2,75,1,
626,온라인,1,,,1990,3,,,,,,5,,1,2,1962,8,1,근무안함,9,40,52,15,14,21,0,,1,,40,1,,2,3,3,1,2,2,10,1,1,80,20,80,20,12,5,3,8,0,0,1,,3,1,,4,2,30,호흡기,병원과 진료과 방침,3,,1,20,15,20,15,2,1,3,1,,1,3,1,2,4,50,4,70,4,
